2026/08/12 15:42:29.506, 279.81 W, 2092 MHz, 49
2026/08/12 15:42:30.010, 81.67 W, 2392 MHz, 49
2026/08/12 15:42:30.511, 85.77 W, 2392 MHz, 48
2026/08/12 15:42:31.011, 85.30 W, 2392 MHz, 48
2026/08/12 15:42:31.511, 84.79 W, 2392 MHz, 47
2026/08/12 15:42:32.011, 84.38 W, 2392 MHz, 47
2026/08/12 15:42:32.511, 84.26 W, 2392 MHz, 46
2026/08/12 15:42:33.011, 84.21 W, 2392 MHz, 46
2026/08/12 15:42:33.511, 83.92 W, 2392 MHz, 45
2026/08/12 15:42:34.011, 84.10 W, 2392 MHz, 45
2026/08/12 15:42:34.512, 189.65 W, 2377 MHz, 48
2026/08/12 15:42:35.012, 372.99 W, 2370 MHz, 56
2026/08/12 15:42:35.512, 536.71 W, 2347 MHz, 61
2026/08/12 15:42:36.012, 606.28 W, 2340 MHz, 61
2026/08/12 15:42:36.512, 602.03 W, 2332 MHz, 62
2026/08/12 15:42:37.012, 600.43 W, 2332 MHz, 62
2026/08/12 15:42:37.513, 601.11 W, 2332 MHz, 62
2026/08/12 15:42:38.013, 605.59 W, 2347 MHz, 63
2026/08/12 15:42:38.513, 606.98 W, 2332 MHz, 63
2026/08/12 15:42:39.013, 601.75 W, 2332 MHz, 63
2026/08/12 15:42:39.513, 600.46 W, 2325 MHz, 63
2026/08/12 15:42:40.013, 600.32 W, 2325 MHz, 64
2026/08/12 15:42:40.514, 561.37 W, 2347 MHz, 64
2026/08/12 15:42:41.014, 561.47 W, 2340 MHz, 64
2026/08/12 15:42:41.514, 605.03 W, 2325 MHz, 65
2026/08/12 15:42:42.014, 601.49 W, 2325 MHz, 65
2026/08/12 15:42:42.514, 600.78 W, 2325 MHz, 65
2026/08/12 15:42:43.014, 600.45 W, 2325 MHz, 65
2026/08/12 15:42:43.514, 600.71 W, 2362 MHz, 66
2026/08/12 15:42:44.015, 602.95 W, 2325 MHz, 66
2026/08/12 15:42:44.515, 604.90 W, 2317 MHz, 66
2026/08/12 15:42:45.015, 601.82 W, 2317 MHz, 66
2026/08/12 15:42:45.515, 600.96 W, 2317 MHz, 67
2026/08/12 15:42:46.015, 600.72 W, 2317 MHz, 67
2026/08/12 15:42:46.515, 607.55 W, 2347 MHz, 67
2026/08/12 15:42:47.015, 609.29 W, 2325 MHz, 67
2026/08/12 15:42:47.515, 603.71 W, 2317 MHz, 68
2026/08/12 15:42:48.016, 601.01 W, 2310 MHz, 68
2026/08/12 15:42:48.516, 600.30 W, 2310 MHz, 68
2026/08/12 15:42:49.016, 565.36 W, 2310 MHz, 62
